Age,5 km,6 km,4 Mile,8 km,5 Mile,10 km,12 km,15 km,10 Mile,20 km,H. Mar,25 km,30 km,Marathon,50 km,50 Mile,100 km,150 km,100 Mile,200 km
5,1286,1555,1674,2100,2112,2647,3207,4054,4359,5474,5784,6944,8438,12181,14812,26552,35271,59941,65803,87186
6,1181,1428,1537,1928,1939,2430,2944,3722,4002,5026,5311,6375,7747,11184,13599,24378,32383,55033,60415,80049
7,1098,1328,1429,1793,1802,2259,2737,3460,3720,4672,4937,5926,7201,10396,12641,22661,30101,51156,56158,74408
8,1031,1247,1342,1683,1693,2121,2570,3249,3494,4387,4636,5565,6763,9763,11871,21281,28269,48041,52740,69878
9,977,1181,1271,1595,1604,2010,2435,3078,3310,4156,4392,5272,6407,9249,11246,20160,26780,45512,49962,66199
10,932,1127,1213,1522,1531,1918,2324,2938,3159,3967,4192,5032,6115,8828,10735,19244,25562,43442,47690,63188
11,895,1083,1166,1463,1471,1843,2233,2823,3036,3812,4028,4836,5876,8483,10315,18491,24563,41743,45826,60718
12,866,1047,1127,1414,1422,1782,2159,2729,2935,3685,3894,4674,5680,8200,9971,17875,23744,40351,44297,58693
13,842,1018,1096,1374,1382,1732,2098,2652,2852,3581,3785,4543,5521,7970,9691,17373,23077,39218,43053,57044
14,822,994,1070,1342,1350,1692,2049,2591,2786,3498,3697,4438,5393,7785,9466,16969,22541,38307,42054,55720
15,807,976,1050,1317,1325,1660,2011,2542,2734,3433,3628,4355,5292,7640,9290,16653,22121,37593,41270,54681
16,795,962,1035,1298,1306,1636,1982,2506,2695,3384,3576,4293,5216,7531,9157,16415,21805,37056,40680,53900
17,786,950,1023,1283,1290,1617,1958,2476,2662,3343,3533,4241,5153,7439,9046,16216,21541,36608,40188,53247
18,780,943,1015,1273,1280,1604,1943,2457,2642,3317,3505,4208,5114,7382,8976,16091,21375,36325,39878,52837
19,779,942,1014,1272,1279,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
20,779,942,1014,1272,1279,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
21,779,942,1014,1272,1279,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
