Place,Name,Age,Sex,Tilden,Chabot,Wdminster,Total
1,Richie Ledonne,25,M,57:00,1:18:17,54:38,3:09:57
2,Noah Beyeler,29,M,58:50,1:21:46,57:28,3:18:04
3,Chris Wendt,23,M,59:34,1:22:56,57:14,3:19:44
4,Jack Wallace,24,M,59:45,1:31:39,1:02:16,3:33:40
5,Scott Strait,58,M,1:08:57,1:41:24,1:14:16,4:04:37
6,Jason Reed,35,M,1:09:48,1:43:56,1:15:35,4:09:19
7,Nancy Simmons,54,F,1:13:41,1:47:01,1:17:19,4:18:01
8,John Spriggs,53,M,1:14:46,1:47:22,1:15:58,4:18:06
9,Beth Vitalis,49,F,1:16:28,1:47:39,1:15:15,4:19:22
10,Ruben Ramirez,57,M,1:14:37,1:50:05,1:18:47,4:23:29
11,Jesse Levit,30,M,1:17:55,1:50:59,1:17:59,4:26:53
12,Trapper Byrne,54,M,1:17:12,1:51:11,1:18:40,4:27:03
13,"Doug	  Royer",34,M,1:16:51,1:51:26,1:20:18,4:28:35
14,Mike Flaherty,43,M,1:15:24,1:55:08,1:19:14,4:29:46
15,Vince Camacho,44,M,1:20:28,1:52:22,1:19:16,4:32:06
16,Ellen Clark,41,F,1:17:59,1:54:08,1:20:21,4:32:28
17,Joseph Makonnen,41,M,1:20:57,1:52:32,1:20:42,4:34:11
18,Jim Eckford,58,M,1:17:33,1:54:49,1:23:41,4:36:03
19,Jamie Barnhart,31,F,1:21:23,1:52:47,1:21:59,4:36:09
20,Valerie Kao,33,F,1:22:48,1:54:13,1:22:30,4:39:31
21,Barry Hotchkies,69,M,1:21:32,1:54:55,1:23:37,4:40:04
22,Jack Sharp,24,M,1:25:09,1:57:04,1:18:36,4:40:49
23,Wing Wu,36,F,1:25:05,1:56:32,1:20:44,4:42:21
24,Vena Kostroun,47,M,1:22:10,1:58:13,1:24:21,4:44:44
25,"Sharlet	  Gilbert",63,F,1:22:35,1:55:08,1:28:56,4:46:39
26,Scott McHugo,47,M,1:26:21,1:56:30,1:25:54,4:48:45
27,Scott Brandon,58,M,1:26:41,2:07:01,1:26:21,5:00:03
28,Arnold Ramos,63,M,1:27:30,2:08:15,1:33:58,5:09:43
29,Laura McCreery,56,F,1:29:07,2:07:39,1:34:02,5:10:48
30,John Horton,32,M,1:32:22,2:08:59,1:30:21,5:11:42
31,Martha Gilbertson,55,F,1:30:56,2:12:39,1:33:38,5:17:13
32,Anthony Ababon,33,M,1:31:40,2:19:24,1:38:02,5:29:06
33,Gary MacPherson,68,M,1:37:03,2:17:56,1:40:01,5:35:00
34,Carol Bruton,61,F,1:39:42,2:20:01,1:41:32,5:41:15
35,Julios Ratti,63,M,1:47:43,2:22:29,1:40:51,5:51:03
36,Adriana Russell,49,F,1:51:35,2:34:08,1:47:00,6:12:43
37,Suzanne Wright,46,F,1:50:45,2:35:36,1:52:22,6:18:43
38,Shayna Mehas,34,F,2:05:00,2:59:33,2:05:34,7:10:07
