Age,5 km,6 km,4 Mile,8 km,5 Mile,10 km,12 km,15 km,10 Mile,20 km,H. Mar,25 km,30 km,Marathon,50 km,50 Mile,100 km,150 km,100 Mile,200 km
5,0:21:04,0:25:45,0:27:23,0:34:17,0:34:31,0:43:16,0:52:10,1:05:30,1:10:24,1:27:58,1:33:01,1:50:55,2:14:34,3:13:11,3:53:29,7:02:15,9:20:53,15:43:53,17:14:14,
6,0:20:07,0:24:35,0:26:26,0:33:05,0:33:19,0:41:46,0:50:21,1:11:57,1:11:16,1:29:04,1:42:10,1:52:17,2:16:14,3:06:27,3:45:21,6:47:33,9:01:21,15:11:01,16:38:13,
7,0:19:17,0:23:33,0:25:20,0:31:43,0:31:56,0:40:02,0:48:15,1:07:36,1:07:36,1:24:28,1:35:59,1:46:30,2:09:12,2:58:42,3:35:59,6:30:36,8:38:51,14:33:08,15:56:43,21:06:50
8,0:18:34,0:22:40,0:24:23,0:30:31,0:30:44,0:38:31,0:46:26,1:03:58,1:04:28,1:20:33,1:30:50,1:41:33,2:03:13,2:51:59,3:27:51,6:15:55,8:19:21,14:00:19,15:20:45,20:19:12
9,0:17:56,0:21:54,0:23:33,0:29:29,0:29:41,0:37:13,0:44:51,1:00:55,1:01:46,1:17:11,1:26:30,1:37:19,1:58:05,2:46:07,3:20:46,6:03:06,8:02:19,13:31:40,14:49:21,19:37:38
10,0:17:23,0:21:13,0:22:49,0:28:34,0:28:46,0:36:03,0:43:28,0:58:21,0:59:27,1:14:18,1:22:51,1:33:40,1:53:39,2:40:58,3:14:32,5:51:50,7:47:21,13:06:29,14:21:46,19:01:05
11,0:16:54,0:20:38,0:22:11,0:27:46,0:27:58,0:35:03,0:42:15,0:56:09,0:57:27,1:11:48,1:19:44,1:30:31,1:49:50,2:36:29,3:09:07,5:42:02,7:34:20,12:44:35,13:57:46,18:29:19
12,0:16:29,0:20:06,0:21:38,0:27:04,0:27:16,0:34:10,0:41:11,0:54:17,0:55:43,1:09:38,1:17:05,1:27:48,1:46:31,2:32:32,3:04:21,5:33:25,7:22:52,12:25:17,13:36:38,18:01:19
13,0:16:07,0:19:39,0:21:08,0:26:27,0:26:38,0:33:24,0:40:15,0:52:42,0:54:13,1:07:45,1:14:50,1:25:26,1:43:39,2:29:04,3:00:10,5:25:51,7:12:50,12:08:23,13:18:06,17:36:48
14,0:15:47,0:19:15,0:20:43,0:25:55,0:26:06,0:32:43,0:39:27,0:51:21,0:52:56,1:06:08,1:12:55,1:23:23,1:41:10,2:26:04,2:56:32,5:19:17,7:04:06,11:53:42,13:02:01,17:15:29
15,0:15:31,0:18:55,0:20:20,0:25:28,0:25:38,0:32:08,0:38:44,0:50:13,0:51:49,1:04:45,1:11:18,1:21:38,1:39:02,2:23:27,2:53:23,5:13:34,6:56:30,11:40:55,12:48:01,16:56:57
16,0:15:15,0:18:36,0:20:00,0:25:02,0:25:13,0:31:36,0:38:05,0:49:11,0:50:48,1:03:29,1:09:51,1:20:02,1:37:06,2:21:04,2:50:29,5:08:20,6:49:34,11:29:14,12:35:13,16:40:00
17,0:15:00,0:18:17,0:19:40,0:24:37,0:24:48,0:31:05,0:37:28,0:48:12,0:49:49,1:02:15,1:08:27,1:18:30,1:35:14,2:18:45,2:47:41,5:03:17,6:42:51,11:17:56,12:22:50,16:23:36
18,0:14:50,0:18:03,0:19:24,0:24:18,0:24:28,0:30:40,0:36:58,0:47:21,0:49:21,1:01:40,1:07:15,1:17:45,1:34:20,2:16:53,2:45:26,4:59:12,6:37:26,11:08:49,12:12:50,16:10:23
19,0:14:46,0:17:54,0:19:15,0:24:06,0:24:16,0:30:25,0:36:40,0:46:43,0:49:21,1:01:40,1:06:20,1:17:45,1:34:20,2:15:47,2:44:07,4:56:48,6:34:15,11:03:27,12:06:58,16:02:36
20,0:14:46,0:17:51,0:19:12,0:24:02,0:24:12,0:30:20,0:36:34,0:46:16,0:49:21,1:01:40,1:05:42,1:17:45,1:34:20,2:15:25,2:43:40,4:56:00,6:33:11,11:01:40,12:05:00,16:00:00
21,0:14:46,0:17:51,0:19:12,0:24:02,0:24:12,0:30:20,0:36:34,0:46:00,0:49:21,1:01:40,1:05:19,1:17:45,1:34:20,2:15:25,2:43:40,4:56:00,6:33:11,11:01:40,12:05:00,16:00:00
22,0:14:46,0:17:51,0:19:12,0:24:02,0:24:12,0:30:20,0:36:34,0:45:55,0:49:21,1:01:40,1:05:12,1:17:45,1:34:20,2:15:25,2:43:40,4:56:00,6:33:11,11:01:40,12:05:00,16:00:00
23,0:14:46,0:17:51,0:19:12,0:24:02,0:24:12,0:30:20,0:36:34,0:45:55,0:49:21,1:01:40,1:05:12,1:17:45,1:34:20,2:15:25,2:43:40,4:56:00,6:33:11,11:01:40,12:05:00,16:00:00
24,0:14:46,0:17:51,0:19:12,0:24:02,0:24:12,0:30:20,0:36:34,0:45:55,0:49:21,1:01:40,1:05:12,1:17:45,1:34:20,2:15:25,2:43:40,4:56:00,6:33:11,11:01:40,12:05:00,16:00:00
25,0:14:46,0:17:51,0:19:12,0:24:02,0:24:12,0:30:20,0:36:34,0:45:55,0:49:21,1:01:40,1:05:12,1:17:45,1:34:20,2:15:25,2:43:40,4:56:00,6:33:11,11:01:40,12:05:00,16:00:00
26,0:14:46,0:17:51,0:19:12,0:24:02,0:24:12,0:30:20,0:36:34,0:45:55,0:49:21,1:01:40,1:05:12,1:17:45,1:34:20,2:15:25,2:43:40,4:56:00,6:33:11,11:01:40,12:05:00,16:00:00
27,0:14:46,0:17:51,0:19:12,0:24:02,0:24:12,0:30:20,0:36:34,0:45:55,0:49:21,1:01:40,1:05:12,1:17:45,1:34:20,2:15:25,2:43:40,4:56:00,6:33:11,11:01:40,12:05:00,16:00:00
28,0:14:46,0:17:51,0:19:12,0:24:02,0:24:12,0:30:20,0:36:34,0:45:55,0:49:21,1:01:40,1:05:12,1:17:45,1:34:20,2:15:25,2:43:40,4:56:00,6:33:11,11:01:40,12:05:00,16:00:00
29,0:14:46,0:17:51,0:19:12,0:24:02,0:24:12,0:30:20,0:36:34,0:45:55,0:49:21,1:01:40,1:05:12,1:17:45,1:34:20,2:15:25,2:43:40,4:56:00,6:33:11,11:01:40,12:05:00,16:00:00
